Date of Stop ,Time Of Stop ,Race,Sex,Age,ReasonForStop,ResultsOfSearch,ResultOfStop,Location of Stop ,District
02-JAN-16,1919,W,M,42,2,1,3,3RD ST & 25TH ST,C
02-JAN-16,1921,B,M,34,2,1,2,400 BLK MONTEREY BL,H
02-JAN-16,1925,B,F,34,2,1,2,LEAVENWORTH/EDDY,J
02-JAN-16,1930,A,F,51,2,1,2,CHURCH ST AT 17TH ST,D
02-JAN-16,1935,B,M,23,4,2,3,DOUBLE ROCK CT & CAMERON WY,C
02-JAN-16,1945,W,M,75,1,1,2,6TH AVE. & GEARY BLVD,G
02-JAN-16,1946,B,M,31,1,1,3,CAPP ST & 17TH ST,D
02-JAN-16,1955,O,M,33,2,1,3,HAYES ST. & PIERCE ST.,E
02-JAN-16,1955,W,F,41,2,1,2,LEAVENWORTH/EDDY,J
02-JAN-16,2000,H,M,34,2,1,3,NAPOLION&EVANS,C
02-JAN-16,2024,W,F,20,1,1,3,DRUMM & SACRAMENTO,A
02-JAN-16,2102,W,F,60,1,1,3,BRYANT ST & LANGTON ST,B
02-JAN-16,2109,B,F,29,2,1,2,1700 SHAFTER,C
